,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Ref_Wave,Test_Wave,MOS,warp_q_mfcc,warp_q_mel,pesq,prediction
0,0,0,0,0,resources/Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,3.823139469,0.7706814108557829,2.4118320187009856,1.566600322723389,3.4580712
1,1,1,1,1,resources/Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,4.122819767,0.778612439147325,2.2504619948263427,1.7483725547790527,3.8377328
2,2,2,2,2,resources/Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,4.312159404,0.799119730118618,2.3485746993925978,1.8847103118896484,3.5090928
3,3,3,3,3,resources/Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,3.054721495,0.8430321438067179,2.4436768521526404,1.6839871406555176,2.8038907
4,4,4,4,4,resources/Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,3.351932004,0.8029119911784371,1.9761641837348305,1.8568400144577024,3.6145172
5,5,5,5,5,resources/Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,3.891214735,0.7608575302481829,2.423606676485806,1.5275757312774658,3.5332732
6,6,6,6,6,resources/Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,3.710286068,0.7995772286180227,2.143014718064382,1.7918236255645752,3.8864856
7,7,7,7,7,resources/Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,3.548417842,0.8409962827719873,2.4632437367186824,1.4854625463485718,3.0035927
8,8,8,8,8,resources/Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,3.5101505910000004,0.8223713520909128,2.3018548207412097,1.9996347427368164,3.4541988
9,9,9,9,9,resources/Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,3.439382387,0.808195157036881,2.625138278371454,1.5563685894012451,3.5851884
10,10,10,10,10,resources/Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir6/lpcnq.wav,2.960255433,0.8335079216759573,2.596140127460409,1.7746386528015137,3.0752597
